riga;codice_servizio;elemento;data_inizio_corretta
1003;0500126301;283318;[20230926]
1005;0500126301;283452;[20230926]
1007;0500126301;283449;[20230926]
1030;0500126301;283450;[20230926]
1032;0500126301;283453;[20230926]
1034;0500126301;283457;[20230926]
1036;0500126301;283459;[20230926]
1038;0500126301;283460;[20230926]
1040;0500126301;283468;[20230926]
1042;0500126301;283469;[20230926]
1055;0500126301;283320;[20230926]
1057;0500126301;283317;[20230926]
1059;0500126301;283451;[20230926]
1061;0500126301;283458;[20230926]
1064;0500126301;283462;[20230926]
1066;0500126301;283467;[20230926]
1068;0500126301;283494;[20230926]
1082;0500126301;282057;[20230926]
1083;0500126301;304413;[20230926]
1101;0500126301;283455;[20230926]
1104;0500126301;283464;[20230926]
1106;0500126301;283466;[20230926]
1117;0500126301;283316;[20230926]
1119;0500126301;283319;[20230926]
1121;0500126301;283456;[20230926]
1124;0500126301;283463;[20230926]
1126;0500126301;283465;[20230926]
1128;0500126301;283492;[20230926]
